Started At,Completed At,Completion Status,Device Type,Browser,Utm Source,Utm Medium,Utm Campaign,Utm Content,Mkt Tok,1. What professional role(s) do you play?,,,,,,,,,,,2. Which most accurately describes your role?,3. How many years of experience do you have?,4. What is the size of your current company?,5. What type of company do you work for?,,,,,,6. In which country do you live?,,,7. Which word best describes the area where you live and work?,8. What is your education level?,"9. If you have a degree, did you study a technology-related field?",10. What is your age range?,11. Do you identify as having a disability as defined under the Americans with Disabilities Act?,,,,,,,,,,,,,,,,"12. Do you identify as a ""person of color""?",13. With which racial background(s) do you identify?,,,,,,,,14. Do you identify with any of the following?,,,,,,,,15. Do you consider yourself to be transgender/gender non-conforming?,16. What is your primary gender identity today?,"17. Do you practice, worship, or observe a particular religion?","18. Thinking about your childhood, which socio-economic class did you identify with?","19. Thinking about your current situation, which socio-economic class do you identify with?",20. Which of the following languages do you use in the workplace?,,,,,,,,,,"21. At work, I feel comfortable expressing the aspects of my identity that are important to me.","22. At work, it's important to me that I feel comfortable expressing my identity.",23. Encouraging people to express any/all aspects of their identities benefits my company.,"24. What else do you identify with? Call out anything we've missed that makes you, well, you!",25. How likely are you to recommend the Diversity of the Web survey to a friend or colleague?
,,,,,,,,,,Developer,Designer,UX/UI,Technical/Solutions Architect,Technical Lead,Content Developer/Strategist,QA/Testing,Product Manager/Owner,Other,[] Other (Deleted),Other (Deleted),,,,Web Agency / Development Shop,Digital Agency,Advertising Agency,Non-agency organization,Freelancer,Other,Please choose your country, (Deleted),Which word best describes the area where you live and work? (Deleted),,,,,"Yes, Cognitive","Yes, Emotional","Yes, Auditory","Yes, Physical","Yes, Other",No,Prefer not to answer,THIS IS WHERE THE OTHER ONES GO (Deleted),Cognitive     [] Emotional     [] Hearing     [] Mental     [] Physical     [] Visual (Deleted),"Yes, Visual (Deleted)", (Deleted), (Deleted), (Deleted), (Deleted), (Deleted), (Deleted),,Asian,Black,Latino,Native American,Pacific Islander,White,Prefer not to answer,Other,Asexual,Bisexual,Gay,Lesbian,Queer,Straight,Prefer not to answer,Other,,,,,,English,French,Spanish,Chinese,Arabic,Japanese,Portugese,Malay-Indonesian,Arabic,Other,,,,,
2016-10-19 13:39:03 -0700,2016-10-19 13:43:32 -0700,completed,mac,Chrome 49.0.2623.112,tr.im,no_referer,tr.im/diversity,direct_input,,Developer,,,Technical/Solutions Architect,,,,,,,,My role does not involve leadership or management,20+,50 - 100 employees,Web Agency / Development Shop,,,,,,US,,,Urban,Completed college,Yes,45-54,,,,,,No,,,,,,,,,,,No,,,,,,White,,,,,,,,Straight,,,No,Male,No,Upper middle class,Upper middle class,English,,,,,,,,,,Agree,Neutral,Agree,,10
2016-10-19 14:41:32 -0700,2016-10-19 14:44:51 -0700,completed,mac,Chrome 53.0.2785.143,tr.im,no_referer,tr.im/diversity,direct_input,,Developer,,,Technical/Solutions Architect,Technical Lead,,QA/Testing,Product Manager/Owner,,,,I am a formal manager,2 - 5,Under 10 employees,,Digital Agency,,,,,US,,,Urban,Completed college,No,25-34,,,,,,No,,,,,,,,,,,No,,,,,,White,,,,,,,,Straight,,,No,Male,No,Upper middle class,Upper middle class,English,,,,,,,,,,Strongly agree,Agree,Agree,,10
2016-10-20 12:46:52 -0700,2016-10-20 12:50:03 -0700,completed,mac,Chrome 53.0.2785.143,tr.im,no_referer,tr.im/diversity,direct_input,,Developer,,,,Technical Lead,,,,Manager,,,I am a formal manager,11 - 15,100 - 200 employees,,,,Non-agency organization,,Startup,US,,,Urban,Completed college,Yes,25-34,,,,,,No,,,,,,,,,,,No,,,,,,White,,,,,,,,Straight,,,No,Male,No,Upper middle class,Upper middle class,English,,,,,,,,,,Strongly agree,Agree,Strongly agree,nerd!,8
2016-10-20 13:10:13 -0700,2016-10-20 13:12:49 -0700,completed,mac,Firefox 49.0,tr.im,no_referer,tr.im/diversity,direct_input,,Developer,,,,,,,,,,,My role does not involve leadership or management,2 - 5,200+ employees,,,,,,Government organization,US,,,Rural,Completed master's degree,Yes,25-34,,,,,,No,,,,,,,,,,,No,,,,,,White,,,,Bisexual,,,,,,,No,Female,No,Lower middle class,Lower middle class,English,,,,,,,,,,Disagree,Agree,Strongly agree,,6
2016-10-20 13:16:27 -0700,2016-10-20 13:19:57 -0700,completed,mac,Chrome 53.0.2785.143,tr.im,no_referer,tr.im/diversity,direct_input,,,,,,,,,Product Manager/Owner,,,,I am a formal manager,11 - 15,20 - 50 employees,,Digital Agency,,,,,US,,,Rural,Completed college,No,35-44,,,,,,No,,,,,,,,,,,No,,,,,,White,,,,,,,,Straight,,,No,Male,No,Working class,Working class,English,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,,10
2016-10-20 14:01:19 -0700,2016-10-20 14:10:02 -0700,completed,linux,Chrome 53.0.2785.116,tr.im,t.co,tr.im/diversity,link_click,,Developer,,,Technical/Solutions Architect,Technical Lead,,,,,,,"I am not a manager, though I do hold a leadership role",6 - 10,Under 10 employees,Web Agency / Development Shop,,,,Freelancer,,UG,,,Urban,Completed college,Yes,25-34,,,,,,No,,,,,,,,,,,Yes,,Black,,,,,,,,,,,,Straight,,,No,Male,Yes,Lower middle class,Working class,English,,,,,,,,,,Agree,Neutral,Neutral,,0
2016-10-20 14:14:36 -0700,2016-10-20 16:16:26 -0700,completed,mac,Firefox 48.0,tr.im,no_referer,tr.im/diversity,direct_input,,Developer,Designer,UX/UI,,,,,,,,,"I am not a manager, though I do hold a leadership role",6 - 10,Under 10 employees,,,,,Freelancer,,US,,,Suburban,Some college/technical training,,25-34,,,,,,No,,,,,,,,,,,No,,,,,,White,,,,Bisexual,,,,,,,No,Female,"Yes, and I identify as a religious minority",Working class,Upper class,English,,,,,,,,,,Disagree,Strongly agree,Strongly agree,,8
2016-10-20 14:56:26 -0700,2016-10-20 14:59:32 -0700,completed,mac,Chrome 53.0.2785.143,tr.im,no_referer,tr.im/diversity,direct_input,,Developer,,,Technical/Solutions Architect,,,,,,,,My role does not involve leadership or management,2 - 5,100 - 200 employees,,Digital Agency,,,,,US,,,Urban,Completed college,Yes,25-34,,,,"Yes, Physical",,,,,,,,,,,,,Yes,,,Latino,,,White,,,,,,,Queer,,,,No,Male,No,Working class,Upper middle class,English,,,,,,,,,,Disagree,Neutral,Strongly agree,,8
2016-10-20 15:31:48 -0700,2016-10-20 17:49:20 -0700,completed,windows,Chrome 53.0.2785.143,tr.im,no_referer,tr.im/diversity,direct_input,,,,,,,,,,Systems Admin,,,"I am not a manager, though I do hold a leadership role",6 - 10,20 - 50 employees,,,,,,Higher Education,US,,,Suburban,Completed college,Yes,25-34,,,,,,No,,,,,,,,,,,No,Asian,,,,,,,,,,,,,,Prefer not to answer,,No,Female,Yes,Working class,Working class,English,,,,,,,,,,Strongly agree,Strongly agree,Agree,Sports affiliations,3
